gene,DoTT_by_Readout,log2FC_4sU,Upregulated,DEstatus.2
INPP5E,FALSE,-2.1562522611786985,FALSE,FALSE
ASPRV1,FALSE,4.009427359014456,TRUE,FALSE
TMA7,TRUE,-3.5438800658949767,FALSE,FALSE
AC068987.1,FALSE,-1.9257272376213739,FALSE,FALSE
GPR107,FALSE,-1.2949186798772203,FALSE,FALSE
PHRF1,TRUE,-0.4866354810574556,FALSE,FALSE
LRSAM1,FALSE,1.0093899590302444,TRUE,FALSE
RPL35,FALSE,-2.244543167561276,FALSE,FALSE
PDCL,TRUE,-1.6159939990693564,FALSE,FALSE
EXOSC4,FALSE,-2.639741102227415,FALSE,FALSE
MYADM,FALSE,-2.924024232534008,FALSE,FALSE
HSPA14,TRUE,-2.7393330402928746,FALSE,FALSE
ARPC5L,TRUE,-2.790175575766072,FALSE,FALSE
FAM73B,FALSE,-1.2025036929507635,FALSE,FALSE
PTGES,TRUE,-2.623680719662789,FALSE,FALSE
SH3GLB2,FALSE,-2.892654590312926,FALSE,FALSE
TMX2-CTNND1,FALSE,-0.9125190525235811,FALSE,FALSE
CTD-2619J13.14,FALSE,-1.3718313887630094,FALSE,FALSE
TSTD2,TRUE,-1.156717137691768,FALSE,FALSE
AP5B1,FALSE,-3.08530887576838,FALSE,FALSE
NCBP1,TRUE,-1.420151630975486,FALSE,FALSE
ANP32B,FALSE,-2.81635649658688,FALSE,FALSE
CALM1,TRUE,-1.2988899147440236,FALSE,FALSE
PSMB7,TRUE,-1.5623424204117826,FALSE,FALSE
ZNF878,FALSE,0.3919202596541903,FALSE,FALSE
C9orf156,FALSE,-1.223885121977516,FALSE,FALSE
C9orf142,FALSE,-4.2081530545531916,FALSE,FALSE
RABEPK,TRUE,-2.4490790726393827,FALSE,FALSE
XPA,FALSE,-2.6933386617659476,FALSE,FALSE
GOLGA1,FALSE,-0.3254926762943359,FALSE,FALSE
FZD5,TRUE,0.9457384062135262,FALSE,FALSE
SIRT2,FALSE,-0.14416427670398485,FALSE,FALSE
ITGB1BP1,TRUE,0.04997189374710636,FALSE,FALSE
CCNYL1,TRUE,-0.1583411170241829,FALSE,FALSE
SPTY2D1,TRUE,-1.1951190836015626,FALSE,FALSE
DUX4L4,FALSE,3.3362833878644325,TRUE,FALSE
PARD3,FALSE,-0.29717103246343485,FALSE,FALSE
BCAP29,TRUE,-2.612999881794734,FALSE,FALSE
RP11-252A24.7,TRUE,-1.5343735702114762,FALSE,FALSE
RP11-529K1.3,FALSE,-2.017166767942917,FALSE,FALSE
RP11-483P21.3,TRUE,5.237934780569344,TRUE,TRUE
SRRT,FALSE,0.34305656783740635,FALSE,FALSE
RETSAT,FALSE,-1.935564904337344,FALSE,FALSE
RP11-430C7.5,TRUE,6.275634442613427,TRUE,TRUE
PUSL1,FALSE,-3.4419158829549916,FALSE,FALSE
RP11-77K12.7,FALSE,4.03155806850265,TRUE,FALSE
ABCC4,TRUE,-0.6354769014448427,FALSE,FALSE
CCDC28A,FALSE,-3.489026400825593,FALSE,FALSE
MIR210HG,FALSE,-2.2915544458438433,FALSE,FALSE
EFNB2,FALSE,-2.8106937708255337,FALSE,FALSE
RASA4,FALSE,-0.7362853182885118,FALSE,FALSE
CDK6,TRUE,-2.373721200658033,FALSE,FALSE
TK2,TRUE,-1.9333734482363167,FALSE,FALSE
PMPCB,FALSE,-2.18590185399208,FALSE,FALSE
AC005355.1,TRUE,2.369463045392091,TRUE,TRUE
PCDH18,FALSE,-6.673719238955884,FALSE,FALSE
RAP2A,TRUE,-1.72908630073662,FALSE,FALSE
DNAJC2,FALSE,-2.353546698739236,FALSE,FALSE
TMTC4,FALSE,-3.4413835954215544,FALSE,FALSE
TFPI2,FALSE,-1.7875206981513339,FALSE,FALSE
MAP7D3,TRUE,-2.8995439468064577,FALSE,FALSE
RNF182,TRUE,-3.6227759226067304,FALSE,FALSE
RP11-706O15.1,FALSE,-2.8526907825459977,FALSE,FALSE
BET1,TRUE,-1.2545070188119298,FALSE,FALSE
NAMPT,TRUE,-0.9374362630733627,FALSE,FALSE
ATL1,FALSE,-0.8919319311980312,FALSE,FALSE
TRIP6,FALSE,-1.375348684106011,FALSE,FALSE
EP400,TRUE,-0.8682446677090353,FALSE,FALSE
TBC1D15,TRUE,-1.0648852234652106,FALSE,FALSE
IFFO2,FALSE,0.79579492589824,FALSE,FALSE
RP11-49C24.1,TRUE,1.7987905982293595,TRUE,TRUE
USP22,FALSE,-2.7840808322409556,FALSE,FALSE
TWISTNB,TRUE,-2.2203422646167206,FALSE,FALSE
EPPK1,FALSE,-0.894907416553164,FALSE,FALSE
RRAD,FALSE,4.718486173558546,TRUE,FALSE
TOR1AIP2,TRUE,-0.8213704045095961,FALSE,FALSE
JAZF1,FALSE,-2.1198883991530235,FALSE,FALSE
ABCD1,TRUE,-0.1928979826745519,FALSE,FALSE
HIST1H2AC,TRUE,-3.7436957616688398,FALSE,FALSE
LINC00843,FALSE,-0.02154553028126446,FALSE,FALSE
ATP11C,TRUE,-1.7220173555074725,FALSE,FALSE
STAG2,FALSE,-2.12287691391578,FALSE,FALSE
XIAP,FALSE,-4.066593213884466,FALSE,FALSE
MED16,TRUE,-1.8910168549705761,FALSE,FALSE
FAM96B,TRUE,-1.888400221192668,FALSE,FALSE
SRPX,FALSE,-2.921880133702417,FALSE,FALSE
CDC42SE1,FALSE,-3.434917643083213,FALSE,FALSE
OTUD3,FALSE,-1.37284858643504,FALSE,FALSE
PCDHGA4,FALSE,-3.9665914930592416,FALSE,FALSE
HIST1H2BC,TRUE,-5.28315604767736,FALSE,FALSE
CCDC22,TRUE,-1.338416217675931,FALSE,FALSE
ZNF706,TRUE,-1.9088667674447826,FALSE,FALSE
HS2ST1,FALSE,-0.35210075748799335,FALSE,FALSE
